"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"241461256140226560","","","","","2012-08-31 09:03:44 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Scientists reconstruct genetic makeup of 50,000-year-old girl

http://t.co/SVS539xC","http://gu.com/p/3a4q9"
"241448230955659264","","","241442412113833984","38205414","2012-08-31 08:11:58 +0000","web","RT @marcuschown: For those who have asked, I have summarised what Cameron has done and is doing to the NHS http://t.co/toxk7pxB","http://www.tinyurl.com/cg6nn4t"
"241447883390455809","","","","","2012-08-31 08:10:35 +0000","web","Ben Fogle making an intelligent link between animal euthanasia and the right to die on BBC Breakfast."
"241190823075667968","","5502392","","","2012-08-30 15:09:07 +0000","web","@mojombo Hey. When in auto mode, does Jekyll regenerate the whole site or just the new/modified content items?"
"241174540334534657","241146126823211008","754820","","","2012-08-30 14:04:25 +0000","web","@esteele Probably nothing. Testing &amp; bug squishing is a long process on a site as big as ours. @HammerToe has been helping us out too."
"241139904753577985","","","","","2012-08-30 11:46:48 +0000","web","Next version of Plone at UoL is out for user testing. God damn, it has been tough getting to this point."
"241087497902379008","","","241084794656681984","4004901","2012-08-30 08:18:33 +0000","web","RT @alexhern: Paul Ryan heralds a post-factual age: http://t.co/kh7nkwV1 in which I use all of the non-defamatory euphemisms there are.","http://www.newstatesman.com/blogs/politics/2012/08/paul-ryans-convention-speech-heralds-post-factual-age"
"241086366895714305","","","","","2012-08-30 08:14:03 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","NHS Commissioning Board seeks open data and intelligence leads | Guardian Government Computing | Guardian Professional http://t.co/RlZJTzfO","http://buff.ly/MZPuEw"
"240881771695194112","","","","","2012-08-29 18:41:04 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Ten building blocks of an open data initiative http://t.co/cbcjW1J4","http://buff.ly/Prvl7x"
"240791564824223745","","","","","2012-08-29 12:42:37 +0000","web","Wealth is not created, it's made up, a fiction conjured out of thin air by the privileged few - you and your villainous mates Osbourne."
"240784407848419328","","","","","2012-08-29 12:14:11 +0000","web","The legend of 'Black Annis' - the witch who foretold Richard III's death http://t.co/F5ZyOPIR cc @uniofleicester","http://www.whitedragon.org.uk/articles/blackann.htm"
"240783922512928768","","","","","2012-08-29 12:12:15 +0000","web","A nice set of photos from Richard III sites around Leicester. https://t.co/FUB92DVC cc @uniofleicester","https://plus.google.com/photos/110978923598866986305/albums/5462666215793442081"
"240771208843493376","","","240761829528322049","15023475","2012-08-29 11:21:44 +0000","web","RT @HallyMk1: Full communism now! MT @martin_eve Osborne used phrase ""wealth creators"". Do we have to go over who they create wealth for ..."
"240770960318406657","","","","","2012-08-29 11:20:44 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",".@uniofleicester - it's a two pool kind'o place http://t.co/7mW47rMA","http://buff.ly/PqTRpr"
"240770288869060610","","","240766221946060801","16461969","2012-08-29 11:18:04 +0000","web","RT @jonginn: @CodeClub now I want a baby just so it can wear a t-shirt that says 'Hello, World!' I think that'd be pretty good."
"240762367103889408","","1671811","","","2012-08-29 10:46:36 +0000","web","@paul_irish No more hot pink :("
"240762090313367552","","","","","2012-08-29 10:45:30 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","html5 boilerplate v4 is out. Sadly, no more hot pink. :( http://t.co/jP5Hc5t7","http://buff.ly/MZgjJ1"
"240761809550848001","240759274735796224","65375966","","","2012-08-29 10:44:23 +0000","web","@RichardTaylor_ I pity those poor other people, with their boring sandwiches."
"240755383700971520","","","","","2012-08-29 10:18:51 +0000","web","Hula Hoops are a challenging crisp to make a sandwich out of. It's not the size, it's the robustness."
"240742172360577024","","","240740218708316162","352650591","2012-08-29 09:26:21 +0000","web","RT @Protohedgehog: Couldn't not share this.. http://t.co/LMuOHGje","http://twitter.com/Protohedgehog/status/240740218708316162/photo/1"
"240729448536748032","","","","","2012-08-29 08:35:47 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Silver Arcade will  be open in time for XMas http://t.co/uSnDwRFn","http://buff.ly/PqDBEU"
